rank,sweep_stage,hostile_rank,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query,relevance_score,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
832,landscape_1000,,"Design, characterization and preliminary usability testing of a portable robot for unsupervised therapy of hand function",2023,Frontiers in Mechanical Engineering,Raffaele Ranzani; M. Albrecht; Claudia J. W. Haarman; Emily Koh; Giada Devittori; Jeremia P. O. Held; et al.,https://doi.org/10.3389/fmech.2022.1075795,https://doi.org/10.3389/fmech.2022.1075795,https://openalex.org/W4313826411,7,robot manipulation actuator limits torque saturation,25.035,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Introduction: There is evidence that increasing therapy dose after stroke might promote recovery. Unfortunately, in clinical practice, therapy dose is limited by financial and organizational constraints. Simple robotic devices could be used without supervision in the clinic or at home to increase dose without requiring additional resources. For this purpose, we developed HandyBot, a portable three-degrees-of-freedom end-effector haptic device to perform sensorimotor task-oriented therapy of hand function (i.e., grasping, forearm pronosupination"
833,landscape_1000,,Numerical Optimization of Underactuated Flexure-Based Grippers,2023,,Boi Okken; Jan P. Dekker; Jan J. de Jong; Dannis Michel Brouwer,https://doi.org/10.1115/detc2023-116752,https://doi.org/10.1115/detc2023-116752,https://openalex.org/W4388874022,6,robot manipulation actuator limits torque saturation,25.030,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Abstract Robotic manipulation in the agri-food industry faces several issues, including object variation, fragility and food safety. Underactuated flexure-based gripper allow passive adaptation to object variation, whilst monolithic flexure joints drive down cost, part-count, hygiene requirements, contamination and wear. However, designing flexure-based grippers presents challenges in achieving sufficient support stiffness, load-bearing capacity and joint deflection. Additionally, modeling the non-linear flexure behavior may become computationa"
834,landscape_1000,,Using an HSV-based approach for detecting and grasping an object by the industrial manipulator system,2023,FME Transaction,Ha Quang Thinh Ngo,https://doi.org/10.5937/fme2304512n,https://doi.org/10.5937/fme2304512n,https://openalex.org/W4388593619,6,robot manipulation actuator limits torque saturation,25.030,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"In the context of the industrialization era, robots are gradually replacing workers in some production stages. There is an irreversible trend toward incorporating image processing techniques in the realm of robot control. In recent years, vision-based techniques have achieved significant milestones. However, most of these techniques require complex setups, specialized cameras, and skilled operators for burden computation. This paper presents an efficient vision-based solution for object detection and grasping in indoor environments. The framewo"
835,landscape_1000,,Perceptive Locomotion Through Whole-Body MPC and Optimal Region Selection,2025,IEEE Access,Thomas Corbères; Carlos Mastalli; Wolfgang Merkt; Jaehyun Shim; Ioannis Havoutis; Maurice Fallon; et al.,https://doi.org/10.1109/access.2025.3558093,https://doi.org/10.1109/access.2025.3558093,https://openalex.org/W4409153922,6,quasi static pushing robot manipulation,25.030,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Real-time synthesis of legged locomotion maneuvers in challenging industrial settings is still an open problem, requiring simultaneous determination of footsteps locations several steps ahead while generating whole-body motions close to the robot’s limits. State estimation and perception errors impose the practical constraint of fast re-planning motions in a model predictive control (MPC) framework. We first observe that the computational limitation of perceptive locomotion pipelines lies in the combinatorics of contact surface selection. Re-pl"
836,landscape_1000,,Closed-Loop Kinematic and Indirect Force Control of a Cable-Driven Knee Exoskeleton: A Lyapunov-Based Switched Systems Approach,2023,IEEE Open Journal of Control Systems,Chen-Hao Chang; Jonathan Casas; Victor H. Duenas,https://doi.org/10.1109/ojcsys.2023.3289771,https://doi.org/10.1109/ojcsys.2023.3289771,https://openalex.org/W4382138379,5,robot manipulation actuator limits torque saturation,25.025,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Lower-limb exoskeletons can aid restoring mobility in people with movement disorders. Cable-driven exoskeletons can offload their actuators away from the human body to reduce the weight imposed on the user and enable precise control of joints. However, ensuring limb coordination through bidirectional motion control of joints using cables raise the technical challenge of preventing the occurrence of undesired cable slackness or counteracting forces between cables. Thus, motivation exists to develop a control design framework that integrates both"
837,landscape_1000,,A Model-Free-Based Control Method for Robot Manipulators: Achieving Prescribed Performance and Ensuring Fixed Time Stability,2023,Applied Sciences,Anh Tuan Vo; Thanh Nguyen Truong; Hee‐Jun Kang,https://doi.org/10.3390/app13158939,https://doi.org/10.3390/app13158939,https://openalex.org/W4385555638,5,robot manipulation actuator limits torque saturation,25.025,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"This paper addresses three significant challenges in controlling robot manipulators: improving response time, minimizing steady-state errors and chattering, and enhancing controller robustness. It also focuses on eliminating the need for computing the robot’s dynamic model and unknown functions, as well as achieving global fixed-time convergence and the prescribed performance for the control system. To achieve these objectives, a fixed-time sliding mode function is designed, which uses transformation errors to achieve prescribed control perform"
838,landscape_1000,,RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,2024,arXiv (Cornell University),"Liu, Songming; Lingxuan Wu; Bowen Li; Tan, Hengkai; Huayu Chen; Zhengyi Wang; et al.",https://doi.org/10.48550/arxiv.2410.07864,https://doi.org/10.48550/arxiv.2410.07864,https://openalex.org/W4403364995,5,nonprehensile manipulation pushing control,25.025,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"Bimanual manipulation is essential in robotics, yet developing foundation models is extremely challenging due to the inherent complexity of coordinating two robot arms (leading to multi-modal action distributions) and the scarcity of training data. In this paper, we present the Robotics Diffusion Transformer (RDT), a pioneering diffusion foundation model for bimanual manipulation. RDT builds on diffusion models to effectively represent multi-modality, with innovative designs of a scalable Transformer to deal with the heterogeneity of multi-moda"
839,landscape_1000,,Modeling and Control of a Magnetically Levitated Microrobotic System,2006,UWSpace (University of Waterloo),David Craig,,https://openalex.org/W2530430733,https://openalex.org/W2530430733,4,robot manipulation actuator limits torque saturation,25.020,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Magnetically levitated microrobotic systems have shown a great deal of promise for micromanipulation tasks. A new large-gap magnetic suspension system has recently been developed at the University of Waterloo in order to develop microrobotic systems for various applications. In order to achieve motion with the system, a model is needed in order to facilitate the design of various aspects of the system, such as the microrobot and the controller. In order to derive equations of motion for the system attempts were made to characterize the force pr"
840,landscape_1000,,Issues in Nonprehensile Manipulation,1998,,Kevin M. Lynch,https://doi.org/10.1201/9781439863886-25,https://doi.org/10.1201/9781439863886-25,https://openalex.org/W96133356,4,nonprehensile manipulation pushing control,25.020,Plan and control object motion through intermittent or sticking contact.,"Quasi-static pushing models, motion cones, contact-mode planning, or learned push dynamics.",The robot can realize planned pusher motions equally well in each direction.,The robot-side actuator cone behind the contact-mode model.,A push mode may be geometrically valid but actuator-directionally brittle.,Novelty of contact-mode or pushing mechanics alone.,Jointly selecting contact/IK primitive and signed actuator cone feasibility.,"This paper outlines geometric and algorithmic issues common to various types of nonprehensile manipulation and gives some results for planar dynamic manipulation. 1 Overview Nonprehensile manipulation is manipulation without a form- or force-closure grasp. Examples include pushing, throwing, juggling, tapping, batting, and rolling (Mason [24]; Higuchi [11]; Buhler and Koditschek [6]; Erdmann [8]; Huang et al. [12]; Zumel and Erdmann [40]; Aiyama et al. [1]; Trinkle and Zeng [37]). In each of these examples, the robot takes advantage of the natu"
841,landscape_1000,,Real-Time Joint Angular-Acceleration Planning for Vision-Based Kinematically Redundant Manipulator in Dynamic Environment,2020,IEEE Access,Hui Zhang; Hongzhe Jin; Mingda Ge; Yanhe Zhu; Jie Zhao,https://doi.org/10.1109/access.2020.3001266,https://doi.org/10.1109/access.2020.3001266,https://openalex.org/W3034772363,3,robot manipulation actuator limits torque saturation,25.015,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"This paper presents an angular acceleration planning for joint configuration spaces of vision-based kinematically redundant robot manipulators to achieve real-time tracking tasks in dynamic environment. In accordance with the proved proposition, the joint velocity formed by the inverse kinematics mapping of the defined pose error is regarded as the system error, and utilized to further deduce the planned joint angular acceleration and with kinematic redundancy for obstacle avoidance simultaneously. Highly-complex nonlinearities in the angular a"
842,landscape_1000,,T-DOM: A Taxonomy for Robotic Manipulation of Deformable Objects,2024,arXiv (Cornell University),David Blanco–Mulero; Yifei Dong; Júlia Borràs; Florian T. Pokorny; Carme Torras,https://doi.org/10.48550/arxiv.2412.20998,https://doi.org/10.48550/arxiv.2412.20998,https://openalex.org/W4405957605,2,nonprehensile manipulation pushing control,25.010,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Robotic grasp and manipulation taxonomies, inspired by observing human manipulation strategies, can provide key guidance for tasks ranging from robotic gripper design to the development of manipulation algorithms. The existing grasp and manipulation taxonomies, however, often assume object rigidity, which limits their ability to reason about the complex interactions in the robotic manipulation of deformable objects. Hence, to assist in tasks involving deformable objects, taxonomies need to capture more comprehensively the interactions inherent "
843,landscape_1000,,Minimal Work: A Grasp Quality Metric for Deformable Hollow Objects,2019,arXiv (Cornell University),Jingyi Xu; Michael Danielczuk; Jeff Ichnowski; Jeffrey Mahler; Eckehard Steinbach; Ken Goldberg,https://doi.org/10.48550/arxiv.1909.11226,https://doi.org/10.48550/arxiv.1909.11226,https://openalex.org/W2975514431,1,nonprehensile manipulation pushing control,25.005,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,Robot grasping of deformable hollow objects such as plastic bottles and cups is challenging as the grasp should resist disturbances while minimally deforming the object so as not to damage it or dislodge liquids. We propose minimal work as a novel grasp quality metric that combines wrench resistance and the object deformation. We introduce an efficient algorithm to compute required work to resist an external wrench for a manipulation task by solving a linear program. The algorithm first computes the minimum required grasp force and an estimatio
844,landscape_1000,,Transporters with Visual Foresight for Solving Unseen Rearrangement Tasks,2022,arXiv (Cornell University),Hongtao Wu; Jikai Ye; Xin Meng; Chris Paxton; Gregory S. Chirikjian,https://doi.org/10.48550/arxiv.2202.10765,https://doi.org/10.48550/arxiv.2202.10765,https://openalex.org/W4221166259,1,nonprehensile manipulation pushing control,25.005,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"Rearrangement tasks have been identified as a crucial challenge for intelligent robotic manipulation, but few methods allow for precise construction of unseen structures. We propose a visual foresight model for pick-and-place rearrangement manipulation which is able to learn efficiently. In addition, we develop a multi-modal action proposal module which builds on the Goal-Conditioned Transporter Network, a state-of-the-art imitation learning method. Our image-based task planning method, Transporters with Visual Foresight, is able to learn from "
845,landscape_1000,,Sampling-based Exploration for Reinforcement Learning of Dexterous Manipulation,2023,arXiv (Cornell University),"Gagan Khandate; Siqi Shang; Eric T. Chang; Tristan L. Saidi; Liu, Yang; Dennis, Seth Matthew; et al.",https://doi.org/10.48550/arxiv.2303.03486,https://doi.org/10.48550/arxiv.2303.03486,https://openalex.org/W4323650418,1,nonprehensile manipulation pushing control,25.005,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"In this paper, we present a novel method for achieving dexterous manipulation of complex objects, while simultaneously securing the object without the use of passive support surfaces. We posit that a key difficulty for training such policies in a Reinforcement Learning framework is the difficulty of exploring the problem state space, as the accessible regions of this space form a complex structure along manifolds of a high-dimensional space. To address this challenge, we use two versions of the non-holonomic Rapidly-Exploring Random Trees algor"
846,landscape_1000,,PreAfford: Universal Affordance-Based Pre-Grasping for Diverse Objects and Environments,2024,arXiv (Cornell University),Kairui Ding; Boyuan Chen; Ruihai Wu; Yuyang Li; Zongzheng Zhang; Huan-ang Gao; et al.,https://doi.org/10.48550/arxiv.2404.03634,https://doi.org/10.48550/arxiv.2404.03634,https://openalex.org/W4394007752,1,nonprehensile manipulation pushing control,25.005,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Robotic manipulation with two-finger grippers is challenged by objects lacking distinct graspable features. Traditional pre-grasping methods, which typically involve repositioning objects or utilizing external aids like table edges, are limited in their adaptability across different object categories and environments. To overcome these limitations, we introduce PreAfford, a novel pre-grasping planning framework incorporating a point-level affordance representation and a relay training approach. Our method significantly improves adaptability, al"
847,landscape_1000,,Methods for failure detection for mobile manipulation,2012,Publication Server of Bonn-Rhein-Sieg University of Applied Sciences (Bonn-Rhein-Sieg University of Applied Sciences),Anastassia Küstenmacher,https://doi.org/10.18418/978-3-96043-005-6,https://doi.org/10.18418/978-3-96043-005-6,https://openalex.org/W2318308096,0,nonprehensile manipulation pushing control,25.000,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"The work presented in this paper focuses on the comparison of well-known and new fault-diagnosis algorithms in the robot domain. The main challenge for fault diagnosis is to allow the robot to effectively cope not only with internal hardware and software faults but with external disturbances and errors from dynamic and complex environments as well. Based on a study of literature covering fault-diagnosis algorithms, I selected four of these methods based on both linear and non-linear models, analysed and implemented them in a mathematical robot-"
848,landscape_1000,,Planning and Control Methods for Robotic Manipulation Tasks with Non-Negligible Dynamics,2011,mediaTUM – the media and publications repository of the Technical University Munich (Technical University Munich),Georg Bätz,,https://openalex.org/W2745741554,https://openalex.org/W2745741554,0,nonprehensile manipulation pushing control,25.000,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"This thesis presents novel insights and solutions for the planning and control of robotic manipulation tasks with non-negligible dynamics. The central goal is to equip robots with advanced sensory and motor skills. Hereby, it represents an important contribution to the development of flexible and versatile robotic systems. The thesis follows a model-based approach and discusses state-of-the-art models of the system and its environment. Methods for optimal motion planning and for hybrid control of dynamic manipulation tasks are presented and ap"
849,landscape_1000,,Creation of Hand Sensors and Orthotics to Capture and Replicate Human Movement and Forces,2021,,Edward Austin,https://doi.org/10.31390/gradschool_dissertations.5616,https://doi.org/10.31390/gradschool_dissertations.5616,https://openalex.org/W4281647589,0,nonprehensile manipulation pushing control,25.000,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Paralysis is a debilitating condition affecting as many as 5.4 million in the United States. Upper extremity paralysis/paresis is the most debilitating form of paralysis due to the robust kinematic patterns in our hands and wrist. These forces and movements available at our hand allow us to manipulate objects as small as a sewing needle yet still lift multiple grocery bags at one time on a daily basis. Inability to use the upper extremities usually necessitates 24-hour assistance. Therefore, it is imperative to build devices that are biomimetic"
850,landscape_1000,,A General Formulation for Path Constrained Time-Optimized Trajectory Planning with Environmental and Object Contacts,2024,arXiv (Cornell University),Dasharadhan Mahalingam; Aditya Patankar; Riddhiman Laha; Srinivasan Lakshminarayanan; Sami Haddadin; Nilanjan Chakraborty,https://doi.org/10.48550/arxiv.2410.06295,https://doi.org/10.48550/arxiv.2410.06295,https://openalex.org/W4403344772,0,nonprehensile manipulation pushing control,25.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"A typical manipulation task consists of a manipulator equipped with a gripper to grasp and move an object with constraints on the motion of the hand-held object, which may be due to the nature of the task itself or from object-environment contacts. In this paper, we study the problem of computing joint torques and grasping forces for time-optimal motion of an object, while ensuring that the grasp is not lost and any constraints on the motion of the object, either due to dynamics, environment contact, or no-slip requirements, are also satisfied."
851,landscape_1000,,Object-Centric Kinodynamic Planning for Nonprehensile Robot Rearrangement Manipulation,2024,arXiv (Cornell University),Kejia Ren; Gaotian Wang; Andrew S. Morgan; Lydia E. Kavraki; Kaiyu Hang,https://doi.org/10.48550/arxiv.2410.00261,https://doi.org/10.48550/arxiv.2410.00261,https://openalex.org/W4403818911,0,nonprehensile manipulation pushing control,25.000,Plan and control object motion through intermittent or sticking contact.,"Quasi-static pushing models, motion cones, contact-mode planning, or learned push dynamics.",The robot can realize planned pusher motions equally well in each direction.,The robot-side actuator cone behind the contact-mode model.,A push mode may be geometrically valid but actuator-directionally brittle.,Novelty of contact-mode or pushing mechanics alone.,Jointly selecting contact/IK primitive and signed actuator cone feasibility.,"Nonprehensile actions such as pushing are crucial for addressing multi-object rearrangement problems. Many traditional methods generate robot-centric actions, which differ from intuitive human strategies and are typically inefficient. To this end, we adopt an object-centric planning paradigm and propose a unified framework for addressing a range of large-scale, physics-intensive nonprehensile rearrangement problems challenged by modeling inaccuracies and real-world uncertainties. By assuming each object can actively move without being driven by"
852,landscape_1000,,MOSAIC: A Skill-Centric Algorithmic Framework for Long-Horizon Manipulation Planning,2025,ArXiv.org,Itamar Mishani; Yorai Shaoul; Maxim Likhachev,https://doi.org/10.48550/arxiv.2504.16738,https://doi.org/10.48550/arxiv.2504.16738,https://openalex.org/W4415066913,0,nonprehensile manipulation pushing control,25.000,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Planning long-horizon manipulation motions using a set of predefined skills is a central challenge in robotics; solving it efficiently could enable general-purpose robots to tackle novel tasks by flexibly composing generic skills. Solutions to this problem lie in an infinitely vast space of parameterized skill sequences -- a space where common incremental methods struggle to find sequences that have non-obvious intermediate steps. Some approaches reason over lower-dimensional, symbolic spaces, which are more tractable to explore but may be brit"
853,landscape_1000,,From Basket to Closet: A Task-Centric Survey of Robotic Laundry,2026,,Victor-Louis De Gusseme; Remko Proesmans; Thomas Lips; Júlia Borràs; Guillem Alenyà; Andreas Verleysen; et al.,https://doi.org/10.36227/techrxiv.176823103.36643182/v1,https://doi.org/10.36227/techrxiv.176823103.36643182/v1,https://openalex.org/W7122868078,0,nonprehensile manipulation pushing control,25.000,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Laundry accounts for a significant share of household labor. This has motivated researchers to investigate robotic handling of domestic laundry tasks, such as folding and ironing. However, cloth manipulation has proven challenging for robots and although significant progress has been made, robotic laundry is still an unsolved problem. In this paper, we present a task-centric survey of the progress and remaining challenges in robotic cloth manipulation for domestic laundry. In contrast to existing surveys, we adopt a task-centric approach to foc"
854,landscape_1000,,Human-Like Adaptation of Force and Impedance in Stable and Unstable Interactions,2011,IEEE Transactions on Robotics,Chenguang Yang; Gowrishankar Ganesh; Sami Haddadin; Sven Parusel; Alin Albu‐Schäffer; Etienne Burdet,https://doi.org/10.1109/tro.2011.2158251,https://doi.org/10.1109/tro.2011.2158251,https://openalex.org/W2111528514,392,robot manipulation impedance control force control,24.960,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"This paper presents a novel human-like learning controller to interact with unknown environments. Strictly derived from the minimization of instability, motion error, and effort, the controller compensates for the disturbance in the environment in interaction tasks by adapting feedforward force and impedance. In contrast with conventional learning controllers, the new controller can deal with unstable situations that are typical of tool use and gradually acquire a desired stability margin. Simulations show that this controller is a good model o"
855,landscape_1000,,3D printing of magneto-active smart materials for advanced actuators and soft robotics applications,2024,European Polymer Journal,Muhammad Yasir Khalid; Zia Ullah Arif; Ali Tariq; Mokarram Hossain; Kamran A. Khan; Rehan Umer,https://doi.org/10.1016/j.eurpolymj.2023.112718,https://doi.org/10.1016/j.eurpolymj.2023.112718,https://openalex.org/W4390508827,175,robust robot manipulation torque limits,24.875,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"In the contemporary era, novel manufacturing technologies like additive manufacturing (AM) have revolutionized the different engineering sectors including biomedical, aerospace, electronics, etc. Four-dimensional (4D) printing aka AM of smart materials is gaining popularity among the scientific community, which has the excellent ability to make soft structures such as soft robots, actuators, and grippers. These soft structures are developed by applying various stimuli such as pH, temperature, magnetic field, and many combinations onto soft mate"
856,landscape_1000,,Human-Robot Perception in Industrial Environments: A Survey,2021,Sensors,Andrea Bonci; Pangcheng David Cen Cheng; Marina Indri; Giacomo Nabissi; Fiorella Sibona,https://doi.org/10.3390/s21051571,https://doi.org/10.3390/s21051571,https://openalex.org/W3129265343,152,robust robot manipulation torque limits,24.760,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Perception capability assumes significant importance for human-robot interaction. The forthcoming industrial environments will require a high level of automation to be flexible and adaptive enough to comply with the increasingly faster and low-cost market demands. Autonomous and collaborative robots able to adapt to varying and dynamic conditions of the environment, including the presence of human beings, will have an ever-greater role in this context. However, if the robot is not aware of the human position and intention, a shared workspace be"
857,landscape_1000,,"Bistable and Multistable Actuators for Soft Robots: Structures, Materials, and Functionalities",2022,Advanced Materials,Yinding Chi; Yanbin Li; Yao Zhao; Yaoye Hong; Yichao Tang; Jie Yin,https://doi.org/10.1002/adma.202110384,https://doi.org/10.1002/adma.202110384,https://openalex.org/W4212805852,528,robust robot manipulation torque limits,24.640,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Abstract Snap‐through bistability is often observed in nature (e.g., fast snapping to closure of Venus flytrap) and the life (e.g., bottle caps and hair clippers). Recently, harnessing bistability and multistability in different structures and soft materials has attracted growing interest for high‐performance soft actuators and soft robots. They have demonstrated broad and unique applications in high‐speed locomotion on land and under water, adaptive sensing and fast grasping, shape reconfiguration, electronics‐free controls with a single input"
